MAP|Precision_1|Precision_5|Precision_10|Recall_1|Recall_5|Recall_10
0.0984|0.2100|0.1175|0.0873|0.0340|0.0902|0.1299
0.0986|0.2150|0.1185|0.0871|0.0347|0.0903|0.1298
0.0974|0.2053|0.1164|0.0866|0.0334|0.0890|0.1289
0.0982|0.2107|0.1183|0.0877|0.0340|0.0897|0.1301
0.0980|0.2132|0.1179|0.0873|0.0342|0.0895|0.1289
0.0974|0.2111|0.1172|0.0858|0.0341|0.0891|0.1265
0.0978|0.2091|0.1171|0.0338|0.0338|0.0895|0.1293
0.0980|0.2085|0.1178|0.0870|0.0337|0.0896|0.1291
0.0982|0.2097|0.1188|0.0876|0.0338|0.0900|0.1295
0.0978|0.2066|0.1172|0.0872|0.0333|0.0891|0.1288
